disease_name,file_name,conclusion
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '慢性(COPD)', '病情现状': '胸部CT或胸片异常', '体检项目': '胸部CT或胸片异常', '项目结果': '', '重疾险': '延期', '防癌险': '延期', '护理险': '延期', '医疗险': '延期', '意外险': '标体', '备注': ''}"
气管炎/支气管炎,呼吸.txt,"{'疾病名称': '气管炎/支气管炎', '诊断': '慢性(COPD)', '病情现状': '支气管扩张', '体检项目': '支气管扩张', '项目结果': '', '重疾险': '拒保', '防癌险': '拒保', '护理险': '拒保', '医疗险': '拒保', '意外险': '拒保', '备注': ''}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '支气管扩张', '病情现状': '局限性', '体检项目': '肺功能、胸部影像', '项目结果': '轻度', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': '轻度（EV1 和 FVC > 60％，较少咳嗽或咳痰，几乎没有或没有呼吸短促）且非急性发作期'}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '支气管扩张', '病情现状': '局限性', '体检项目': '肺功能、胸部影像', '项目结果': ' 中度及重度', '重疾险': '拒保', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': '中度（40%<EV1 和 FVC≦60%，咳嗽或咳痰频率 < 每天，中等活动情况下呼吸短促）'}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '支气管扩张', '病情现状': '双肺、多发', '体检项目': '肺功能、胸部影像', '项目结果': '', '重疾险': '拒保', '防癌险': '拒保', '护理险': '延期', '医疗险': '拒保', '意外险': '标体', '备注': '重度（EV1 和 FVC<40%，每日咳嗽或咳痰，最低限度活动情况下呼吸短促）'}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '其他因素', '病情现状': '手术<1年', '体检项目': '手术<1年', '项目结果': '', '重疾险': '延期', '防癌险': '延期', '护理险': '延期', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '其他因素', '病情现状': '手术≥1年', '体检项目': '手术≥1年', '项目结果': '', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '其他因素', '病情现状': '有吸烟习惯（病历或投保告知中发现）', '体检项目': '有吸烟习惯（病历或投保告知中发现）', '项目结果': '', '重疾险': '标体', '防癌险': '标体', '护理险': '标体', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '其他因素', '病情现状': '既往住院有重症监护', '体检项目': '既往住院有重症监护', '项目结果': '', '重疾险': '拒保', '防癌险': '拒保', '护理险': '拒保', '医疗险': '拒保', '意外险': '标体', '备注': ''}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '其他因素', '病情现状': '活动性感染中', '体检项目': '活动性感染中', '项目结果': '', '重疾险': '延期', '防癌险': '延期', '护理险': '延期', '医疗险': '延期', '意外险': '延期', '备注': ''}"
支气管扩张,呼吸.txt,"{'疾病名称': '支气管扩张', '诊断': '其他因素', '病情现状': '有肺心病、心力衰竭、免疫缺陷等疾病', '体检项目': '有肺心病、心力衰竭、免疫缺陷等疾病', '项目结果': '', '重疾险': '拒保', '防癌险': '拒保', '护理险': '拒保', '医疗险': '拒保', '意外险': '拒保', '备注': ''}"
